Name ,1970,1980,1990,2000,2015-2019
United States,10.70%,16.20%,20.30%,24.40%,32.10%
Alabama,7.80%,12.20%,15.70%,19.00%,25.50%
Alaska,14.10%,21.20%,23.10%,24.70%,29.60%
Arizona,12.60%,17.40%,20.30%,23.50%,29.50%
Arkansas,6.70%,10.80%,13.30%,16.70%,23.00%
California,13.40%,19.60%,23.40%,26.60%,33.90%
Colorado,14.90%,23.00%,27.00%,32.70%,40.90%
Connecticut,13.70%,20.70%,27.20%,31.40%,39.30%
Delaware,13.10%,17.50%,21.40%,25.00%,32.00%
District of Columbia,17.80%,27.50%,33.30%,39.10%,58.50%
Florida,10.30%,14.90%,18.30%,22.30%,29.90%
Georgia,9.20%,14.60%,19.30%,24.30%,31.30%
Hawaii,14.00%,20.30%,22.90%,26.20%,33.00%
Idaho,10.00%,15.80%,17.70%,21.70%,27.60%
Illinois,10.30%,16.20%,21.00%,26.10%,34.70%
Indiana,8.30%,12.50%,15.60%,19.40%,26.50%
Iowa,9.10%,13.90%,16.90%,21.20%,28.60%
Kansas,11.40%,17.00%,21.10%,25.80%,33.40%
Kentucky,7.20%,11.10%,13.60%,17.10%,24.20%
Louisiana,9.00%,13.90%,16.10%,18.70%,24.10%
Maine,8.40%,14.40%,18.80%,22.90%,31.80%
Maryland,13.90%,20.40%,26.50%,31.40%,40.20%
Massachusetts,12.60%,20.00%,27.20%,33.20%,43.70%
Michigan,9.40%,14.30%,17.40%,21.80%,29.10%
Minnesota,11.10%,17.40%,21.80%,27.40%,36.10%
Mississippi,8.10%,12.30%,14.70%,16.90%,22.00%
Missouri,9.00%,13.90%,17.80%,21.60%,29.20%
Montana,11.00%,17.50%,19.80%,24.40%,32.00%
Nebraska,9.60%,15.50%,18.90%,23.70%,31.90%
Nevada,10.80%,14.40%,15.30%,18.20%,24.70%
New Hampshire,10.90%,18.20%,24.40%,28.70%,37.00%
New Jersey,11.80%,18.30%,24.90%,29.80%,39.70%
New Mexico,12.70%,17.60%,20.40%,23.50%,27.30%
New York,11.90%,17.90%,23.10%,27.40%,36.60%
North Carolina,8.50%,13.20%,17.40%,22.50%,31.30%
North Dakota,8.40%,14.80%,18.10%,22.00%,30.00%
Ohio,9.30%,13.70%,17.00%,21.10%,28.30%
Oklahoma,10.00%,15.10%,17.80%,20.30%,25.50%
Oregon,11.80%,17.90%,20.60%,25.10%,33.70%
Pennsylvania,8.70%,13.60%,17.90%,22.40%,31.40%
Rhode Island,9.40%,15.40%,21.30%,25.60%,34.20%
South Carolina,9.00%,13.40%,16.60%,20.40%,28.10%
South Dakota,8.60%,14.00%,17.20%,21.50%,28.80%
Tennessee,7.90%,12.60%,16.00%,19.60%,27.30%
Texas,10.90%,16.90%,20.30%,23.20%,29.90%
Utah,14.00%,19.90%,22.30%,26.10%,34.00%
Vermont,11.50%,19.00%,24.30%,29.40%,38.00%
Virginia,12.30%,19.10%,24.50%,29.50%,38.80%
Washington,12.70%,19.00%,22.90%,27.70%,36.00%
West Virginia,6.80%,10.40%,12.30%,14.80%,20.60%
Wisconsin,9.80%,14.80%,17.70%,22.40%,30.10%
Wyoming,11.80%,17.20%,18.80%,21.90%,27.40%
Puerto Rico,,,,18.30%,25.90%
